x;y;z;normal_x;normal_y;normal_z;camera_posx;camera_posy;camera_posz;camera_rotx;camera_roty;camera_rotz
-15.21846;1.835847;1.382314;0.0;1.192093e-07;-1.0;-14.54091;1.949877;-0.6219082;0.7430229;359.8674;-5.211459e-11
-14.60582;1.905426;-0.1059901;0.1160739;-0.01229984;-0.9931645;-14.54091;1.949877;-0.6219082;0.7430229;359.8674;-5.211459e-11
-14.76729;1.839574;1.382314;0.0;1.192093e-07;-1.0;-14.54091;1.949877;-0.6219082;0.7430229;359.8674;-5.211459e-11
-14.59602;1.90591;-0.1004957;0.8391712;-0.01224945;-0.5437295;-14.54091;1.949877;-0.6219082;0.7430229;359.8674;-5.211459e-11
-14.72067;3.191371;1.998666;0.0;6.109835e-08;-1.0;-14.54091;1.949877;-0.6219082;0.7430229;359.8674;-5.211459e-11
-14.38595;1.823522;0.07647814;0.2056523;-0.1041477;0.9730675;-13.61439;1.953998;0.3976727;1.688155;247.7666;1.06768e-07
-14.67773;2.326736;-0.01360883;0.8967972;-0.03978983;0.4406492;-13.61439;1.953998;0.3976727;1.688155;247.7666;1.06768e-07
-14.85892;2.637467;-0.09674779;0.9238808;1.177096e-08;-0.3826804;-13.61439;1.953998;0.3976727;1.688155;247.7666;1.06768e-07
-14.82155;2.540152;-0.1046936;0.9721375;0.1956303;-0.1291411;-13.61439;1.953998;0.3976727;1.688155;247.7666;1.06768e-07
-13.93021;1.812171;-0.01850468;-0.4627042;-0.01363557;0.8864079;-13.61439;1.953998;0.3976727;1.688155;247.7666;1.06768e-07
-9.593573;1.131898;-7.07999;0.000207752;1.299995e-07;1.0;-13.57327;2.141463;-3.072235;8.823781;141.6562;-2.159998e-07
-11.069;1.672049;-4.740455;-1.0;-1.748467e-07;1.351337e-06;-13.57327;2.141463;-3.072235;8.823781;141.6562;-2.159998e-07
-12.80349;1.947822;-3.609397;-0.2399944;0.8510869;0.4669622;-13.57327;2.141463;-3.072235;8.823781;141.6562;-2.159998e-07
-13.07475;1.550732;-4.053813;-0.2927931;0.9040732;0.311326;-13.57327;2.141463;-3.072235;8.823781;141.6562;-2.159998e-07
-11.4082;1.848874;-7.229959;-0.4226183;1.114917e-07;0.9063078;-13.57327;2.141463;-3.072235;8.823781;141.6562;-2.159998e-07
-10.5174;2.578072;-4.566123;-0.7316112;-0.4681993;0.4955143;-11.13573;2.553779;-4.720709;351.3872;74.77637;0.0
-4.451986;2.743515;-2.96218;-0.9967855;-0.08011748;6.036811e-07;-11.13573;2.553779;-4.720709;351.3872;74.77637;0.0
-10.40072;2.893128;-4.819891;-0.9238788;-7.405283e-08;0.3826852;-11.13573;2.553779;-4.720709;351.3872;74.77637;0.0
-7.45622;4.178471;-5.286071;-1.0;1.610341e-07;1.737531e-07;-11.13573;2.553779;-4.720709;351.3872;74.77637;0.0
-9.402903;3.345521;-4.82034;-0.9238788;-7.621656e-08;0.3826852;-11.13573;2.553779;-4.720709;351.3872;74.77637;0.0
-10.44527;2.160755;-4.956781;-0.9951928;0.0952044;-0.02296384;-11.02764;2.073577;-5.041243;357.4779;67.71996;0.0
-9.459198;1.994206;-4.818104;-0.9784726;-0.001042816;-0.2063743;-11.02764;2.073577;-5.041243;357.4779;67.71996;0.0
-7.456223;1.892045;-4.492054;-1.0;0.0;0.0;-11.02764;2.073577;-5.041243;357.4779;67.71996;0.0
-9.293214;1.963325;-4.819665;-0.9969574;-0.001042758;-0.07794216;-11.02764;2.073577;-5.041243;357.4779;67.71996;0.0
-9.292668;1.883115;-4.821466;-0.9817806;-0.001062066;-0.1900152;-11.02764;2.073577;-5.041243;357.4779;67.71996;0.0
-9.141021;1.808287;-4.816732;-0.9998651;-0.001019774;0.01639843;-11.02764;2.073577;-5.041243;357.4779;67.71996;0.0
-10.35988;1.898258;-4.886418;-0.8649587;-0.04768034;-0.4995729;-11.02764;2.073577;-5.041243;357.4779;67.71996;0.0
